geocoded_address,event_date,year,CSA2010
"2800 W MULBERRY ST, BALTIMORE, MD, 21223",1/19/06,2006,Southwest Baltimore
"800 N GLOVER ST, BALTIMORE, MD, 21205",1/20/06,2006,Madison/East End
"800 N GLOVER ST, BALTIMORE, MD, 21205",1/20/06,2006,Madison/East End
"2600 SHIRLEY AVE, MD, 21215",1/20/06,2006,Southern Park Heights
"4100 THE ALAMEDA, BALTIMORE, MD, 21218",1/21/06,2006,Greater Govans
"1300 SHERWOOD AVE, BALTIMORE, MD, 21239",1/21/06,2006,Loch Raven
"3300 W BELVEDERE AVE, BALTIMORE, MD, 21215",1/22/06,2006,Pimlico/Arlington/Hilltop
"1200 SLATER ROAD, BALTIMORE, MD, 21225",1/22/06,2006,Cherry Hill
"5500 WINNER AVE, BALTIMORE, MD, 21215",1/23/06,2006,Glen-Fallstaff
"2100 E LAFAYETTE AVE, BALTIMORE, MD, 21213",1/23/06,2006,Clifton-Berea
